ticker,company_name,sector,exchange
ALL.AX,Aristocrat Leisure,Consumer Discretionary,ASX
TAH.AX,Tabcorp Holdings,Consumer Discretionary,ASX
DMP.AX,Domino's Pizza Enterprises,Consumer Discretionary,ASX
BRG.AX,Breville Group,Consumer Discretionary,ASX
PMV.AX,Premier Investments,Consumer Discretionary,ASX
LOV.AX,Lovisa Holdings,Consumer Discretionary,ASX
REH.AX,Reece Limited,Consumer Discretionary,ASX
QAN.AX,Qantas Airways,Consumer Discretionary,ASX
FLT.AX,Flight Centre Travel Group,Consumer Discretionary,ASX
CTD.AX,Corporate Travel Management,Consumer Discretionary,ASX
EDV.AX,Endeavour Group,Consumer Discretionary,ASX
APE.AX,Eagers Automotive,Consumer Discretionary,ASX
TPW.AX,Temple & Webster,Consumer Discretionary,ASX
GMG.AX,Goodman Group,Real Estate,ASX
SCG.AX,Scentre Group,Real Estate,ASX
DXS.AX,Dexus,Real Estate,ASX
GPT.AX,GPT Group,Real Estate,ASX
MGR.AX,Mirvac Group,Real Estate,ASX
VCX.AX,Vicinity Centres,Real Estate,ASX
CHC.AX,Charter Hall Group,Real Estate,ASX
CQR.AX,Charter Hall Retail REIT,Real Estate,ASX
CLW.AX,Charter Hall Long WALE REIT,Real Estate,ASX
NSR.AX,National Storage REIT,Real Estate,ASX
LLC.AX,Lendlease Group,Real Estate,ASX
ABP.AX,Abacus Property Group,Real Estate,ASX
BWP.AX,BWP Trust,Real Estate,ASX
HDN.AX,HomeCo Daily Needs REIT,Real Estate,ASX
WPR.AX,Waypoint REIT,Real Estate,ASX
TCL.AX,Transurban Group,Industrials,ASX
AZJ.AX,Aurizon Holdings,Industrials,ASX
ALX.AX,Atlas Arteria,Industrials,ASX
WOR.AX,Worley Limited,Industrials,ASX
DOW.AX,Downer EDI,Industrials,ASX
QUB.AX,Qube Holdings,Industrials,ASX
ALS.AX,ALS Limited,Industrials,ASX
MND.AX,Monadelphous Group,Industrials,ASX
APA.AX,APA Group,Utilities,ASX
ORG.AX,Origin Energy,Utilities,ASX
AGL.AX,AGL Energy,Utilities,ASX
WTC.AX,WiseTech Global,Information Technology,ASX
XRO.AX,Xero Limited,Information Technology,ASX
TNE.AX,Technology One,Information Technology,ASX
NXT.AX,NEXTDC Limited,Information Technology,ASX
MP1.AX,Megaport Limited,Information Technology,ASX
360.AX,Life360 Inc,Information Technology,ASX
REA.AX,REA Group,Communication Services,ASX
CAR.AX,CAR Group,Communication Services,ASX
SEK.AX,Seek Limited,Communication Services,ASX
IEL.AX,IDP Education,Communication Services,ASX
NWS.AX,News Corp,Communication Services,ASX
TLS.AX,Telstra Group,Communication Services,ASX
TPG.AX,TPG Telecom,Communication Services,ASX
DHG.AX,Domain Holdings Australia,Communication Services,ASX
